Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,Quadro FX 3500,551,0.95,551,https://gpu.userbenchmark.com/SpeedTest/10152/NVIDIA-Quadro-FX-3500
GPU,,ATI,Mobility Radeon HD 5470,552,0.95,12858,https://gpu.userbenchmark.com/SpeedTest/7794/ATI-Mobility-Radeon-HD-5470
GPU,,Nvidia,NVS 3100M,553,0.95,8146,https://gpu.userbenchmark.com/SpeedTest/7837/NVIDIA-NVS-3100M
GPU,,Nvidia,GeForce 9400 GT,554,0.95,10216,https://gpu.userbenchmark.com/SpeedTest/7963/NVIDIA-GeForce-9400-GT
GPU,,ATI,Radeon HD 4300,555,0.9,12054,https://gpu.userbenchmark.com/SpeedTest/7860/ATI-Radeon-HD-43004500
GPU,,Nvidia,Quadro FX 380,556,0.9,1016,https://gpu.userbenchmark.com/SpeedTest/8914/NVIDIA-Quadro-FX-380
GPU,,AMD,Radeon HD 7340,557,0.89,3135,https://gpu.userbenchmark.com/SpeedTest/8996/AMD-Radeon-HD-7340-Graphics
GPU,,ATI,Mobility Radeon HD 4350,558,0.89,1495,https://gpu.userbenchmark.com/SpeedTest/9335/ATI-Mobility-Radeon-HD-43004500
GPU,,Nvidia,NVS 300,559,0.89,2073,https://gpu.userbenchmark.com/SpeedTest/8966/NVIDIA-NVS-300
GPU,,AMD,FirePro 2270,560,0.89,391,https://gpu.userbenchmark.com/SpeedTest/7813/AMD-FirePro-2270
GPU,,Nvidia,GeForce G210,561,0.87,3345,https://gpu.userbenchmark.com/SpeedTest/11784/NVIDIA-GeForce-G210
GPU,,ATI,Radeon HD 5400,562,0.87,8369,https://gpu.userbenchmark.com/SpeedTest/8063/ATI-Radeon-HD-5400
GPU,,AMD,HD 8210,563,0.86,3671,https://gpu.userbenchmark.com/SpeedTest/7831/AMD-Radeon-HD-8210
GPU,,ATI,Mobility Radeon HD 530v,564,0.85,221,https://gpu.userbenchmark.com/SpeedTest/10176/ATI-Mobility-Radeon-HD-530v
GPU,,Nvidia,GeForce 305M,565,0.83,40,https://gpu.userbenchmark.com/SpeedTest/10705/NVIDIA-GeForce-305M
GPU,,AMD,Radeon HD 6320,566,0.82,5917,https://gpu.userbenchmark.com/SpeedTest/8103/AMD-Radeon-HD-6320-Graphics
